CENTRALWAVELNG	BANDWIDTH	PL_TRANDEP	PL_TRANDEPERR1	PL_TRANDEPERR2
2.76293	0.00688	2.22557	0.03065	-0.03065
2.76971	0.00688	2.19693	0.02686	-0.02686
2.7765	0.00688	2.24913	0.02396	-0.02396
2.78335	0.00688	2.24374	0.02535	-0.02535
2.79048	0.00688	2.22215	0.02021	-0.02021
2.7976	0.00688	2.24318	0.02025	-0.02025
2.80439	0.00688	2.22744	0.02016	-0.02016
2.81118	0.00688	2.19231	0.0183	-0.0183
2.81797	0.00688	2.21702	0.01681	-0.01681
2.82475	0.00688	2.23108	0.01783	-0.01783
2.83154	0.00688	2.22133	0.01596	-0.01596
2.83832	0.00688	2.24683	0.01628	-0.01628
2.84551	0.00688	2.21459	0.01776	-0.01776
2.85263	0.00688	2.21598	0.01507	-0.01507
2.85942	0.00688	2.20345	0.0151	-0.0151
2.8645	0.00344	2.21985	0.01955	-0.01955
2.86959	0.00678	2.22223	0.016	-0.016
2.87638	0.00678	2.19884	0.01389	-0.01389
2.88316	0.00678	2.20793	0.0188	-0.0188
2.88994	0.00678	2.2122	0.01386	-0.01386
2.89673	0.00678	2.21237	0.01471	-0.01471
2.90351	0.00678	2.22264	0.0154	-0.0154
2.91035	0.00678	2.23327	0.01583	-0.01583
2.91713	0.00678	2.16849	0.0154	-0.0154
2.92392	0.00678	2.18095	0.01419	-0.01419
2.9307	0.00678	2.18182	0.01583	-0.01583
2.93748	0.00678	2.18678	0.01637	-0.01637
2.94426	0.00678	2.18216	0.01362	-0.01362
2.95104	0.00678	2.19387	0.01848	-0.01848
2.95782	0.00678	2.1989	0.01411	-0.01411
2.9646	0.00678	2.18939	0.0146	-0.0146
2.97138	0.00678	2.19016	0.01306	-0.01306
2.97822	0.00678	2.17106	0.01218	-0.01218
2.985	0.00678	2.14396	0.01562	-0.01562
2.99177	0.00678	2.16959	0.01417	-0.01417
2.99855	0.00678	2.17216	0.01374	-0.01374
3.00533	0.00678	2.19394	0.01331	-0.01331
3.01211	0.00678	2.17923	0.0141	-0.0141
3.01888	0.00678	2.17253	0.01647	-0.01647
3.02566	0.00678	2.16132	0.01337	-0.01337
3.03244	0.00678	2.1568	0.01303	-0.01303
3.03921	0.00678	2.16373	0.01317	-0.01317
3.04599	0.00678	2.17304	0.01345	-0.01345
3.05282	0.00678	2.19578	0.01448	-0.01448
3.0596	0.00677	2.15215	0.01274	-0.01274
3.06637	0.00677	2.1707	0.01367	-0.01367
3.07314	0.00677	2.1498	0.03228	-0.03228
3.07992	0.00677	2.1772	0.01297	-0.01297
3.08669	0.00677	2.17085	0.01303	-0.01303
3.09346	0.00677	2.17343	0.01278	-0.01278
3.10024	0.00677	2.13142	0.01316	-0.01316
3.10701	0.00677	2.14709	0.01284	-0.01284
3.11378	0.00677	2.15387	0.01325	-0.01325
3.12055	0.00677	2.17238	0.01361	-0.01361
3.12732	0.00677	2.13593	0.01254	-0.01254
3.13409	0.00677	2.14749	0.01347	-0.01347
3.14092	0.00677	2.14691	0.01336	-0.01336
3.14769	0.00677	2.12767	0.01316	-0.01316
3.15446	0.00677	2.16247	0.01337	-0.01337
3.16123	0.00677	2.16806	0.01353	-0.01353
3.16799	0.00677	2.15102	0.01241	-0.01241
3.17476	0.00677	2.19102	0.0154	-0.0154
3.18153	0.00677	2.12771	0.01436	-0.01436
3.1883	0.00677	2.12687	0.01325	-0.01325
3.19506	0.00677	2.13229	0.01297	-0.01297
3.20183	0.00677	2.16396	0.01257	-0.01257
3.20859	0.00677	2.13565	0.01412	-0.01412
3.21536	0.00676	2.1636	0.01331	-0.01331
3.22212	0.00676	2.13505	0.013	-0.013
3.22889	0.00676	2.13566	0.01462	-0.01462
3.23531	0.00676	2.13327	0.01311	-0.01311
3.2418	0.00676	2.15516	0.01337	-0.01337
3.24856	0.00676	2.15035	0.01394	-0.01394
3.25532	0.00676	2.12898	0.01249	-0.01249
3.26208	0.00676	2.14399	0.01238	-0.01238
3.26885	0.00676	2.14868	0.01286	-0.01286
3.27561	0.00676	2.12428	0.01337	-0.01337
3.28237	0.00676	2.15626	0.01375	-0.01375
3.28913	0.00676	2.16869	0.01415	-0.01415
3.29622	0.00676	2.14572	0.01307	-0.01307
